title,authors,year,doi,abstract,source,notes
Is CO2 an indoor pollutant? Direct effects of low-to-moderate CO2 concentrations on human decision-making performance,"Satish, U. ; Mendell, M. J. ; Shekhar, K. ; Hotchi, T. ; Sullivan, D. ; Streufert, S. ; Fisk, W. J.",2012,https://doi.org/10.1289/ehp.1104789,"BACKGROUND: Associations of higher indoor carbon dioxide (CO2) concentrations with impaired work performance, increased health symptoms, and poorer perceived air quality have been attributed to correlation of indoor CO2 with concentrations of other indoor air pollutants that are also influenced by rates of outdoor-air ventilation. OBJECTIVES: We assessed direct effects of increased CO2, within the range of indoor concentrations, on decision making. METHODS: Twenty-two participants were exposed to CO2 at 600, 1,000, and 2,500 ppm in an office-like chamber, in six groups. Each group was exposed to these conditions in three 2.5-hr sessions, all on 1 day, with exposure order balanced across groups. At 600 ppm, CO2 came from outdoor air and participants' respiration. Higher concentrations were achieved by injecting ultrapure CO2. Ventilation rate and temperature were constant. Under each condition, participants completed a computer-based test of decision-making performance as well as questionnaires on health symptoms and perceived air quality. Participants and the person administering the decision-making test were blinded to CO2 level. Data were analyzed with analysis of variance models. RESULTS: Relative to 600 ppm, at 1,000 ppm CO2, moderate and statistically significant decrements occurred in six of nine scales of decision-making performance. At 2,500 ppm, large and statistically significant reductions occurred in seven scales of decision-making performance (raw score ratios, 0.06-0.56), but performance on the focused activity scale increased. CONCLUSIONS: Direct adverse effects of CO2 on human performance may be economically important and may limit energy-saving reductions in outdoor air ventilation per person in buildings. Confirmation of these findings is needed.",Environmental Health Perspectives,Foundational RCT; blinded chamber study; Strategic Management Simulation (SMS); 600/1000/2500 ppm; significant decrements at 1000 ppm on 6/9 SMS scales
"Associations of Cognitive Function Scores with Carbon Dioxide, Ventilation, and Volatile Organic Compound Exposures in Office Workers: A Controlled Exposure Study of Green and Conventional Office Environments","Allen, J. G. ; MacNaughton, P. ; Satish, U. ; Santanam, S. ; Vallarino, J. ; Spengler, J. D.",2016,https://doi.org/10.1289/ehp.1510037,"Background: The indoor built environment plays a critical role in our overall well-being because of both the amount of time we spend indoors (~90%) and the ability of buildings to positively or negatively influence our health. The advent of sustainable design or green building strategies reinvigorated questions regarding the specific factors in buildings that lead to optimized conditions for health and productivity. Objective: We simulated indoor environmental quality (IEQ) conditions in ""Green"" and ""Conventional"" buildings and evaluated the impacts on an objective measure of human performance: higher-order cognitive function. Methods: Twenty-four participants spent 6 full work days (0900-1700 hours) in an environmentally controlled office space, blinded to test conditions. On different days, they were exposed to IEQ conditions representative of Conventional [high concentrations of volatile organic compounds (VOCs)] and Green (low concentrations of VOCs) office buildings in the United States. Additional conditions simulated a Green building with a high outdoor air ventilation rate (labeled Green+) and artificially elevated carbon dioxide (CO2) levels independent of ventilation. Results: On average, cognitive scores were 61% higher on the Green building day and 101% higher on the two Green+ building days than on the Conventional building day (p < 0.0001). VOCs and CO2 were independently associated with cognitive scores. Conclusions: Cognitive function scores were significantly better under Green+ building conditions than in the Conventional building conditions for all nine functional domains. These findings have wide-ranging implications because this study was designed to reflect conditions that are commonly encountered every day in many indoor environments.",Environmental Health Perspectives,24 office workers; 6 work days; blinded; Green/Conventional/Green+ IEQ; cognitive scores 61-101% higher with green conditions; CO2 independently associated
Effects of acute exposures to carbon dioxide on decision making and cognition in astronaut-like subjects,"Scully, R. R. ; Basner, M. ; Nasrini, J. ; Lam, C. ; Hermosillo, E. ; Gur, R. C. ; Moore, T. ; Alexander, D. J. ; Satish, U. ; Ryder, V. E.",2019,https://doi.org/10.1038/s41526-019-0071-6,"Acute exposure to carbon dioxide (CO2) concentrations below those found on the International Space Station are reported to deteriorate complex decision-making. Effective decision-making is critical to human spaceflight, especially during an emergency response. Therefore, effects of acutely elevated CO2 on decision-making competency and various cognitive domains were assessed in astronaut-like subjects by the Strategic Management Simulation (SMS) and Cognition test batteries. [See PDF for complete abstract.]",npj Microgravity,Uses SMS instrument; astronaut-analog subjects; 0/0.5/0.7/1.0/1.2% CO2; no clear dose-response found; performance decrements at 1200 ppm
Associations between acute exposures to PM2.5 and carbon dioxide indoors and cognitive function in office workers: a multicountry longitudinal prospective observational study,"Cedeno Laurent, J. G. ; MacNaughton, P. ; Jones, E. ; Young, A. S. ; Bliss, M. ; Flanigan, S. ; Vallarino, J. ; Chen, L. J. ; Cao, X. ; Allen, J. G.",2021,https://doi.org/10.1088/1748-9326/ac1bd8,"Despite evidence of the air pollution effects on cognitive function, little is known about the acute impact of indoor air pollution on cognitive function among the working-age population. We aimed to understand whether cognitive function was associated with real-time indoor concentrations of particulate matter (PM2.5) and carbon dioxide (CO2). We conducted a prospective observational longitudinal study among 302 office workers in urban commercial buildings located in six countries (China, India, Mexico, Thailand, the United States of America, and the United Kingdom). For 12 months, assessed cognitive function using the Stroop color-word test and Addition-Subtraction test (ADD) via a mobile research app. We found that higher PM2.5 and lower ventilation rates, as assessed by CO2 concentration, were associated with slower response times and reduced accuracy (fewer correct responses per minute) on the Stroop and ADD for 8 out 10 test metrics. Each interquartile (IQR) increase in PM2.5 (IQR=8.8 ug/m3) was associated with a 0.82% (95%CI: 0.42, 1.21) increase in Stroop response time, a 6.18% (95% CI: 2.08, 10.3) increase in Stroop interference time, a 0.7% (95% CI: -1.38, -0.01) decrease in Stroop throughput, and a 1.51% (95% CI: -2.65, -0.37) decrease in ADD throughput. For CO2, an IQR increase (IQR=315ppm) was associated with a 0.85% (95% CI: 0.32, 1.39) increase in Stroop response time, a 7.88% (95% CI: 2.08, 13.86) increase in Stroop interference time, a 1.32% (95% CI: -2.3, -0.38) decrease in Stroop throughput, and a 1.13% (95% CI: 0.18, 2.11) increase in ADD response time. A sensitivity analysis showed significant association between PM2.5 in four out of five cognitive test performance metrics only at levels above 12 ug/m3. Enhanced filtration and higher ventilation rates that exceed current minimum targets are essential public health strategies that may improve employee productivity.",Environmental Research Letters,"302 office workers; 6 countries; 12-month longitudinal; IQR CO2 increase (315 ppm) -> 0.85% slower Stroop RT, 7.88% longer interference; Stroop+ADD cognitive tests"
"Economic, Environmental and Health Implications of Enhanced Ventilation in Office Buildings","MacNaughton, P. ; Pegues, J. ; Satish, U. ; Santanam, S. ; Spengler, J. ; Allen, J.",2015,https://doi.org/10.3390/ijerph121114709,"Introduction: Current building ventilation standards are based on acceptable minimums. Three decades of research demonstrates the human health benefits of increased ventilation above these minimums. Recent research also shows the benefits on human decision-making performance in office workers, which translates to increased productivity. However, adoption of enhanced ventilation strategies is lagging. We sought to evaluate two of the perceived potential barriers to more widespread adoption - Economic and environmental costs. Methods: We estimated the energy consumption and associated per building occupant costs for office buildings in seven U.S. cities, representing different climate zones for three ventilation scenarios (standard practice (20 cfm/person), 30% enhanced ventilation, and 40 cfm/person). Results: Doubling the ventilation rate from the American Society of Heating, Refrigeration and Air-Conditioning Engineers minimum cost less than $40 per person per year in all climate zones investigated. The same change in ventilation improved the performance of workers by 8%, equivalent to a $6500 increase in employee productivity each year. Conclusions: The health benefits associated with enhanced ventilation rates far exceed the per-person energy costs relative to salary costs.",International Journal of Environmental Research and Public Health,Economic analysis linking CO2/ventilation to SMS-measured productivity; doubling ventilation -> 8% worker performance gain equivalent to $6500/yr; 7 U.S. cities
High indoor CO2 concentrations in an office environment increases the transcutaneous CO2 level and sleepiness during cognitive work,"Vehvilainen, T. ; Lindholm, H. ; Rintamaki, H. ; Paakkonen, R. ; Hirvonen, A. ; Niemi, O. ; Vinha, J.",2016,https://doi.org/10.1080/15459624.2015.1076160,"[Abstract not available via open access; see PDF. Study measured transcutaneous CO2, heart rate, peripheral blood flow, and sleepiness in male volunteers during 4-hr simulated office work sessions under ventilated vs. non-ventilated conditions. High CO2 increased physiological markers impairing cognitive work capacity.]",Journal of Occupational and Environmental Hygiene,Male subjects; ventilated vs. non-ventilated office sessions; 4-hr sessions; physiological CO2 effects measured; cognitive work capacity impaired at high CO2
Indoor Air Quality and Cognitive Performance,"Kunn, S. ; Palacios, J. ; Pestel, N.",2019,https://doi.org/10.2139/ssrn.3460848,This paper studies the causal impact of indoor air quality on the cognitive performance of individuals using data from official chess tournaments. [See PDF for complete abstract. Study found that a 10 ug/m3 increase in PM2.5 raised error probability by 26.3%; CO2 effects emerged during time-pressured game phases.],IZA Discussion Paper No. 12632,Large observational study; chess tournament move quality as decision-making proxy; 30 tournaments; PM2.5 dominant predictor; CO2 effect during time pressure phases
Effects of in-car CO2 concentration on driving: a preliminary study with taxi drivers,"Shimazaki, K. ; Ishigaki, Y. ; Hayashi, K. ; Fujita, K.",2025,https://doi.org/10.1539/eohp.2025-0001,"To evaluate the effects of carbon dioxide (CO2) concentrations in automobiles on driving performance. A driving simulator experiment was conducted with eight taxi drivers. The experiment was conducted under low CO2 concentration (<500 ppm) and high CO2 concentration (5,000 ppm) conditions. To evaluate driving performance and cognitive function, three measures were employed: a two-back task, an LED response task, and a driving assessment. The driving assessment used scoring criteria from the driving license proficiency test. Poisson regression analysis showed that wobble (p=0.044), signal failure (p=0.045), contact (p=0.003), and wheel departure (p=0.005) were significantly increased under high CO2 concentration conditions. Generalized linear mixed model (GLMM) analysis showed that reaction time in the LED response task was significantly reduced under high CO2 concentration conditions (p<0.001). On the other hand, the GLMM analysis of the two-back task showed no significant effect of CO2 concentration (incorrect response rate: p=0.733, non-response rate: p=0.485). These results suggest that elevated CO2 concentrations may have a negative impact on driving behavior, especially skill-based driving behavior. On the other hand, the effects on cognitive tasks requiring working memory were limited. The results of this study suggest that managing CO2 concentration in vehicles is important for maintaining safe driving and raise the need for specific measures, such as the development of systems for measuring, predicting, and controlling CO2 concentration in vehicles, and the implementation of driver education programs.",Environmental and Occupational Health Practice,8 taxi drivers; simulator; <500 vs. 5000 ppm CO2; driving errors increased; skill-based behavior impaired more than working memory task; n-back and LED tasks
Home indoor air quality and cognitive function over one year for people working remotely during COVID-19,"Young, A. S. ; Parikh, S. ; Dedesko, S. ; Bliss, M. ; Xu, J. ; Zanobetti, A. ; Miller, S. L. ; Allen, J. G.",2024,https://doi.org/10.1016/j.buildenv.2024.111551,"The coronavirus disease 2019 (COVID-19) pandemic triggered an increase in remote work-from-home for office workers. Given that many homes now function as offices despite not being designed to support office work, it is critical to research the impact of indoor air quality (IAQ) in homes on the cognitive performance of people working from home. In this study, we followed 206 office workers across the U.S. over one year under remote or hybrid-remote settings during 2021-2022. Participants placed two real-time, consumer-grade indoor environmental monitors in their home workstation area and bedroom. Using a custom smartphone application geofenced to their residential address, participants responded to surveys and periodic cognitive function tests, including the Stroop color-word interference test, Arithmetic two-digit addition/subtraction test, and Compound Remote Associates Task (cRAT). Exposures assessed included carbon dioxide (CO2) and thermal conditions (indoor heat index: a combination of temperature and relative humidity) averaged over 30 minutes prior to each cognitive test. In fully adjusted longitudinal mixed models (n<=121), we found that indoor thermal conditions at home were associated with cognitive function outcomes non-linearly (p<0.05), with poorer cognitive performance on the Stroop test and poorer creative problem-solving on the cRAT when conditions were either too warm or too cool. Most indoor CO2 levels were <640 ppm, but there was still a slight association between higher CO2 and poorer cognitive performance on Stroop (p=0.09). Our findings highlight the need to enhance home indoor environmental quality for optimal cognitive function during remote work, with benefits for both employees and employers.",Building and Environment,206 remote workers; 1-year longitudinal; Stroop/ADD/cRAT; CO2 mostly <640 ppm; slight CO2-Stroop association (p=0.09); thermal conditions also assessed
"The effect of air quality on sleep and cognitive performance in school children aged 10-12 years: a double-blinded, placebo-controlled, crossover trial","Bejder Klausen, F. ; Amidi, A. ; Kjaergaard, S. K. ; Schlunssen, V. ; Ravn, P. ; Ostergaard, K. ; Gutzke, V. H. ; Glasius, M. ; Gronborg, T. K. ; Hansen, S. N. ; Zachariae, R. ; Wargocki, P. ; Sigsgaard, T.",2023,https://doi.org/10.13075/ijomeh.1896.02032,"To investigate the effect of CO2 during sleep on next-morning cognitive performance in young schoolchildren, the authors performed a double-blind fully balanced crossover placebo-controlled study. [See PDF for complete abstract.]",International Journal of Occupational Medicine and Environmental Health,RCT crossover; children 10-12 years; CO2 during sleep -> next-morning cognitive performance; double-blind; PMCID: PMC10464806
