title,authors,year,doi,abstract,source,notes
"High sensitivity of human melatonin, alertness, thermoregulation, and heart rate to short wavelength light","Cajochen, C. ; Münch, M. ; Kobialka, S. ; Kräuchi, K. ; Steiner, R. ; Oelhafen, P. ; Orgül, S. ; Wirz-Justice, A.",2005,https://doi.org/10.1210/jc.2004-0957,"Light can elicit acute physiological and alerting responses in humans, the magnitude of which depends on the intensity, duration, and wavelength of the light exposure. The peak of sensitivity for phase-shifting and melatonin suppression is in the short-wavelength range of the visible light spectrum. We quantified the alerting response to 2 h of monochromatic light at 460 nm (blue) and 550 nm (green) in 16 healthy volunteers during the late evening under controlled laboratory conditions. Exposure to 460 nm induced significantly greater melatonin suppression than occurred with 550 nm, concomitant with a significantly greater alerting response and increased core body temperature and heart rate. The different spectral sensitivities for alertness and thermoregulation to short-wavelength light suggest differential involvement of non-rod, non-cone retinal photoreceptors in these responses.",Journal of Clinical Endocrinology & Metabolism,"Monochromatic blue vs green; melatonin + alertness + thermoregulation + HR"
"Non-visual effects of light on melatonin, alertness and cognitive performance: Can blue-enriched light keep us alert?","Chellappa, S.L. ; Steiner, R. ; Blattner, P. ; Oelhafen, P. ; Götz, T. ; Cajochen, C.",2011,https://doi.org/10.1371/journal.pone.0016429,"Light exposure can cascade numerous effects on the human circadian process via the non-imaging forming system, whose spectral relevance is highest in the short-wavelength range. Here we investigated if commercially available compact fluorescent lamps with different colour temperatures can impact on alertness and cognitive performance. Sixteen healthy young men were studied in a balanced cross-over design with three light settings (compact fluorescent lamps with light of 40 lux at 6500K and at 2500K, and incandescent lamps of 40 lux at 3000K) during 2 h in the evening. Exposure to light at 6500K induced greater melatonin suppression, together with enhanced subjective alertness, well-being and visual comfort. With respect to cognitive performance, subjects performed faster in tasks associated with sustained attention (Psychomotor Vigilance and GO/NOGO Task). These results provide evidence that commercially available compact fluorescent lamps with higher colour temperatures could significantly impact on cognitive performance, mood and waking electroencephalogram activity.",PLoS ONE,"Crossover, n=16 men; CFL 6500K vs 2500K vs 3000K; PVT, GO/NOGO, melatonin"
"Blue-enriched white light in the workplace improves self-reported alertness, performance and sleep quality","Viola, A.U. ; James, L.M. ; Schlangen, L.J.M. ; Dijk, D.J.",2008,https://doi.org/10.5271/sjweh.1268,"OBJECTIVES: Light in the short-wavelength range (blue light, 446-483 nm) elicits direct alerting effects, enhances performance, and influences the regulation of the melatonin rhythm by the circadian clock. These effects are mediated by melanopsin-expressing photosensitive retinal ganglion cells. Our aim was to evaluate the effects of exposure to white light with enhanced emission in the blue portion of the spectrum (blue-enriched white light, 17 000 K) on alertness, performance, sleep, and well-being, compared with white light (4000 K) in office workers. METHODS: This experiment was conducted on 104 white-collar workers on two office floors. After baseline assessments under existing lighting conditions, every participant was exposed to two new lighting conditions, each lasting 4 weeks. One consisted of blue-enriched white light (17 000 K) and the other of white light (4000 K). RESULTS: Compared with white light (4000 K), blue-enriched white light (17 000 K) improved the subjective measures of alertness, positive mood, performance, evening fatigue, irritability, concentration, and eye discomfort. Daytime sleepiness was reduced, and the quality of subjective nocturnal sleep was improved under blue-enriched white light.",Scandinavian Journal of Work, Environment & Health,"Field intervention, n=104 office workers, 4-week exposure"
"Bright light and mental fatigue: Effects on alertness, vitality, performance and physiological arousal","Smolders, K.C.H.J. ; de Kort, Y.A.W.",2014,https://doi.org/10.1016/j.jenvp.2013.12.010,"Alertness-enhancing effects of bright light are particularly strong at night and after sleep deprivation, but also appear to exist during daytime with more modest effects. In the current experiment we investigated whether a higher illuminance level particularly benefits individuals suffering from mental fatigue — not from sleep pressure, but from mental exertion. A 2×2 within-subjects design (N=28; 106 sessions) was applied to investigate effects of 1000 vs. 200 lx at the eye on self-report measures, task performance and physiological arousal after a mental antecedent condition (fatigue vs. control). Results showed that participants felt less sleepy, more vital and happier when exposed to bright light. Effects on subjective sleepiness and self-control capacity were stronger under mental fatigue. Vigilance benefited from bright light exposure — although this effect emerged with a delay irrespective of the antecedent condition. Heart rate and skin conductance level were higher under bright light, indicating increased physiological arousal.",Journal of Environmental Psychology,"Within-subjects lab experiment, n=28; 1000 vs 200 lx; PVT, self-report, HR, SCL"
"Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults","Brown, T.M. ; Brainard, G.C. ; Cajochen, C. ; Czeisler, C.A. ; Hanifin, J.P. ; Lockley, S.W. ; Lucas, R.J. ; Münch, M. ; O'Hagan, J.B. ; Peirson, S.N. ; Price, L.L.A. ; Roenneberg, T. ; Schlangen, L.J.M. ; Skene, D.J. ; Spitschan, M. ; Vetter, C. ; Zee, P.C. ; Wright, K.P. Jr.",2022,https://doi.org/10.1371/journal.pbio.3001571,"Ocular light exposure has important influences on human health and well-being through modulation of circadian rhythms and sleep, as well as neuroendocrine and cognitive functions. Prevailing patterns of light exposure do not optimally engage these actions for many individuals, but advances in our understanding of the underpinning mechanisms and emerging lighting technologies now present opportunities to adjust lighting to promote optimal physical and mental health and performance. A newly developed, international standard provides a SI-compliant way of quantifying the influence of light on the intrinsically photosensitive, melanopsin-expressing, retinal ganglion cells that mediate these effects. The present report provides recommendations for lighting, based on an expert scientific consensus and expressed in an easily measured quantity (melanopic equivalent daylight illuminance, melaponic EDI) defined within this standard. The recommendations are supported by detailed analysis of the sensitivity of human circadian, neuroendocrine, and alerting responses to ocular light and provide a straightforward framework to inform lighting design and practice.",PLOS Biology,"Consensus/recommendation paper; melanopic EDI thresholds (day ≥250 lx mEDI, evening ≤10 lx, night ≤1 lx)"
"Measuring and using light in the melanopsin age","Lucas, R.J. ; Peirson, S.N. ; Berson, D.M. ; Brown, T.M. ; Cooper, H.M. ; Czeisler, C.A. ; Figueiro, M.G. ; Gamlin, P.D. ; Lockley, S.W. ; O'Hagan, J.B. ; Price, L.L.A. ; Provencio, I. ; Skene, D.J. ; Brainard, G.C.",2014,https://doi.org/10.1016/j.tins.2013.10.004,"Light is a potent stimulus for regulating circadian, hormonal, and behavioral systems. In addition, light therapy is effective for certain affective disorders, sleep problems, and circadian rhythm disruption. These biological and behavioral effects of light are influenced by a distinct photoreceptor in the eye, melanopsin-containing intrinsically photosensitive retinal ganglion cells (ipRGCs), in addition to conventional rods and cones. We summarize the neurophysiology of this newly described sensory pathway and consider implications for the measurement, production, and application of light. A new light-measurement strategy taking account of the complex photoreceptive inputs to these non-visual responses is proposed for use by researchers, and simple suggestions for artificial/architectural lighting are provided for regulatory authorities, lighting manufacturers, designers, and engineers.",Trends in Neurosciences,"Theoretical/methods paper; ipRGC mechanism framework; α-opic metrics (melanopic, cyanopic, rhodopic)"
"The effect of high correlated colour temperature office lighting on employee wellbeing and work performance","Mills, P.R. ; Tomkins, S.C. ; Schlangen, L.J.M.",2007,https://doi.org/10.1186/1740-3391-5-2,"BACKGROUND: Light exerts powerful effects on circadian rhythms and alertness that are mediated by non-image forming photoreceptive systems. METHODS: A prospective controlled intervention study was conducted within a shift-working call centre to investigate the effect of newly developed fluorescent light sources with a high correlated colour temperature (17000 K) upon the wellbeing, functioning and work performance of employees. Five items of the SF-36 questionnaire and a modification of the Columbia Jet Lag scale, were used to evaluate employees on two different floors of the call centre between February and May 2005. RESULTS: Under the new lighting (17000 K) employees experienced significantly better perceived concentration, alertness, work performance, daytime sleep quality, evening mood, fatigue and eye discomfort. CONCLUSION: High correlated colour temperature fluorescent lights could provide a useful intervention to improve wellbeing and productivity in the corporate setting, although further work is necessary in quantifying the magnitude of likely benefits.",Journal of Circadian Rhythms,"Controlled field intervention; call center; high-CCT 17000K"
"Alerting effects of short-wavelength (blue) and long-wavelength (red) lights in the afternoon","Sahin, L. ; Figueiro, M.G.",2013,https://doi.org/10.1016/j.physbeh.2013.03.014,"Exposure to light, especially short-wavelength light, during the nighttime has been shown to increase alertness, as measured by brain wave activity, performance, and subjective responses. Because the human circadian system is maximally sensitive to short wavelengths during the nighttime, any alerting effects from light during the day, when the circadian system is minimally responsive, might be expected to be smaller. We investigated whether daytime exposure (7 hours after habitual awakening time and lasting 48 min) to red light (630 nm, peak λ) and to blue light (470 nm, peak λ) of the same level of illuminance (18.9 μW/cm², 40 lux) would induce alerting responses either similar or different to those measured at night, as shown by changes in electroencephalogram (EEG) spectral power. Significant reductions in alpha, alpha-theta, and theta power were observed following exposures to red light compared to the preceding dark condition. Red light was found to be a stronger alerting stimulus in the afternoon than blue light.",Physiology & Behavior,"Within-subjects, monochromatic red vs blue afternoon; EEG alpha/theta"
"Acute alerting effects of light: A systematic literature review","Souman, J.L. ; Tinga, A.M. ; te Pas, S.F. ; van Ee, R. ; Vlaskamp, B.N.S.",2018,https://doi.org/10.1016/j.bbr.2017.09.016,"Exposure to light affects us not only visually, but also in many non-visual ways. One of the non-visual effects attracting considerable scientific interest is the acute alerting effect: exposure to bright light has been shown to make us feel more alert and make us perform better in cognitive tasks. The discovery of intrinsically photosensitive retinal ganglion cells containing the photopigment melanopsin, highly sensitive to light with a wavelength of about 480 nm, has led to increased interest in possible effects of the spectral composition of light. Here, we performed a systematic review of empirical studies on direct, acute effects of light on alertness, to evaluate the reliability of these effects. We identified 68 publications that investigated acute alerting effects of light. While many studies reported an increase in subjective alertness with bright light, no clear pattern of results emerged for effects of light intensity or spectrum on objective task performance measures. The review discusses methodological factors that may explain this variability.",Behavioural Brain Research,"Systematic review of 68 studies; spectrum, intensity, time-of-day moderators"
"Shining light on memory: Effects of bright light on working memory performance","Huiberts, L.M. ; Smolders, K.C.H.J. ; de Kort, Y.A.W.",2015,https://doi.org/10.1016/j.bbr.2015.07.045,"Besides biological and behavioral effects, exposure to bright light can acutely affect brain functioning and human cognition. Studies on effects of illuminance on cognitive task performance have produced mixed results. In the current research we examined whether diurnal non-image forming (NIF) effects of illuminance level on cognitive task performance depend on task difficulty and time of day. We employed a balanced crossover design with two 60-min sessions of 200 vs. 1000 lux at eye level. Digit-span task difficulty was manipulated within subjects (forward vs. backward digit-span task), n-back task difficulty was manipulated between subjects (n = 1, 2, or 3). Results showed that bright light exposure improved forward digit-span performance during the final measurement block, especially in the afternoon. In contrast, backward digit-span performance deteriorated slightly under bright light in the afternoon. Two-back performance was significantly worse under bright lighting in the afternoon, while no effect of illuminance level was found on 3-back performance. The findings indicate that the impact of light on cognitive performance depends on task difficulty and time of day.",Behavioural Brain Research,"Crossover, 200 vs 1000 lx; forward/backward digit-span, n-back"
